aa a:a:
ambrosianisch ambRo:zi:a:nIS
ambrosino ambRo:zi:no:
ambrosius ambRo:zi:Us
ambulant ambu:lant
amen a:m@n
america ame:Ri:ka:
american @mErIk@n
americium am@Ri:ki:Um
amerika ame:Ri:ka:
amerikaner ame:Ri:ka:n6
amerikanische am6Ri:ka:nIS@
amerikanischer amERi:ka:nIS6
amerikanisches am6Ri:ka:nIS@s
amgun amgUn
amim amIm
aminosäuren ami:no:zOYR@n
ammoniak amo:njak
ammoniaks amo:njaks
ammonium amo:ni:Um
ammoniums amo:ni:Ums
amnesty Emn@stI
amok amOk
amor amo:6
ampel amp@l
ampere ampe:6
amphiassa amfjasa:
amphibien amfi:bjEn
amphibium amfi:bi:Um
amphibiums amfi:bi:Ums
amphiole amfi:o:l@
amphiolen amfi:o:l@n
amphitheatralisch amfi:te:atRa:lIS
amsterdam amst6dam
amt amt
amtes amt@s
amtliche amtlIC@
amtlichen amtlIC@n
amtsantritt amtsantRIt
amtsenthebung amtsEnthe:bUN
amtshauptmanns amtshaUptmans
amtsinhaber amtsInha:b6
amtskollege amtskole:g@
amtsleiter amtslaIt6
amtssprache amtsSpRa:x@
amtssprachen amtsSpRa:x@n
amtszeit amtstsaIt
amused @mju:zd
amöboid am2:bo:i:t
amöboide am2:bo:i:d@
amüsement amy:z@ma~
an an
anakreon anakRe:o:n
anakreontisch anakRe:OntIS
analoge ana:lo:g@
analogen ana:lo:g@n
analogie ana:lo:gi:
analyse ana:ly:z@
analysen ana:ly:z@n
analysiert ana:ly:zi:6t
analysis ana:ly:zIs
analytikers ana:ly:ti:k6s
anaphorä anafo:RE
anarchie ana6Ci:
anarchist ana6CIst
anarchisten ana6CIst@n
anastigmatisch anastIgma:tIS
anational anatsjo:na:l
anatomie anato:mi:
anatomische anato:mIS@
anbau anbaU
anbaufähig anbaUfE:IC
anbaupflanzen anbaUpflants@n
anbequemend anb@kve:m@nt
anberaumend anb6RaUm@nt
anbieten anbi:t@n
anbieter anbi:t6
anbindung anbIndUN
anciennität a~si:Eni:tE:t
anciennitäten a~si:Eni:tE:t@n
andabates anda:ba:t@s
andauung andaUUN
anden and@n
andere and6R@
anderem and6R@m
anderen and6R@n
anderer and6R6
andererseits and6R6saIts
anderes and6R@s
andernorts and6nO6ts
anders and6s
anderson and6zo:n
anderswo and6svo:
anderthalb and6thalp
andhra andRa:
andraimon andRaImo:n
andre andRe:
andreas andRe:a:s
andreaskreuz andRe:askROYts
andreaskreuze andRe:askROYts@
andreaskreuzen andRe:askROYts@n
andreaskreuzes andRe:askROYts@s
andreasorden andRe:asO6d@n
andreasordens andRe:asO6d@ns
andrej andREI
andrew E:ndru:
andrewes E:ndru:s
andries andRi:s
androhung andRo:UN
androhungen andRo:UN@n
androide andRo:i:d@
androiden andRo:i:d@n
andromache andRo:maxe:
andrzej andREI
aneinander anaInand6
aneinanderfüge anaInand6fy:g@
aneinanderfügen anaInand6fy:g@n
aneinanderfügend anaInand6fy:g@nt
aneinanderfügest anaInand6fy:g@st
aneinanderfüget anaInand6fy:g@t
aneinanderfügst anaInand6fy:kst
aneinanderfügt anaInand6fy:kt
aneinanderfügte anaInand6fy:kt@
aneinanderfügten anaInand6fy:kt@n
aneinanderfügtest anaInand6fy:kt@st
aneinanderfügtet anaInand6fy:kt@t
aneinandergefügt anaInand6g@fy:kt
aneinandergerate anaInand6g6Ra:t@
aneinandergeraten anaInand6g6Ra:t@n
aneinandergeratend anaInand6g6Ra:t@nt
aneinandergeratest anaInand6g6Ra:t@st
aneinandergeratet anaInand6g6Ra:t@t
aneinandergereiht anaInand6g6RaIt
aneinandergeriet anaInand6g6Ri:t
